All Transactions Announced Date,Target/Issuer,Transaction Types,Transaction Status,Buyers/Investors,Sellers/Sponsor,CIQ Transaction ID,First Trade Date [1/1/2015-12/7/2020] [Primary Listing] [Target/Issuer],Company Status [Target/Issuer]
11/08/2018,Two Owls Ventures Corp.,Merger/Acquisition,Closed,Minerva Intelligence Inc. (TSXV:MVAI),-,IQTR590687815,"TSXV:OWL.P
Company: Two Owls Ventures Corp.
(IQT552616053) - 3/26/2018",Acquired
12/02/2020,Unilock Capital Corp. (TSXV:UUU.P),Merger/Acquisition,Announced,Small Pharma Ltd.,-,IQTR696862192,"TSXV:UUU.P
Company: Unilock Capital Corp.
(IQT567810123) - 11/20/2018",Operating
07/31/2019,Unilock Capital Corp. (TSXV:UUU.P),Merger/Acquisition,Cancelled,Footprintku Inc.,-,IQTR631543744,"TSXV:UUU.P
Company: Unilock Capital Corp.
(IQT567810123) - 11/20/2018",Operating
11/08/2018,Union Acquisition Corp.,Merger/Acquisition,Closed,Bioceres Crop Solutions Corp. (AMEX:BIOX),"AQR Capital Management, LLC; Weiss Asset Management LP; Boothbay Fund Management, LLC",IQTR590731200,"AMEX:BIOX
Company: Union Acquisition Corp.
(IQT556850738) - 3/22/2018",Acquired
03/03/2020,VectoIQ Acquisition Corp.,Merger/Acquisition,Closed,Nikola Corporation (NasdaqGS:NKLA),-,IQTR657049962,"NasdaqCM:VTIQ
Company: VectoIQ Acquisition Corp.
(IQT563705035) - 6/11/2018",Acquired
11/25/2020,Victory Capital Corp. (TSXV:VIC.P),Merger/Acquisition,Announced,Acapulco Gold Corporation,-,IQTR696067834,"TSXV:VIC.P
Company: Victory Capital Corp.
(IQT432166352) - 12/7/2017",Operating
06/21/2019,Victory Capital Corp. (TSXV:VIC.P),Merger/Acquisition,Cancelled,1788938 Ontario Ltd.,-,IQTR623298833,"TSXV:VIC.P
Company: Victory Capital Corp.
(IQT432166352) - 12/7/2017",Operating
07/09/2018,Victory Capital Corp. (TSXV:VIC.P),Merger/Acquisition,Cancelled,Gravitas Ilium Corporation,-,IQTR573437315,"TSXV:VIC.P
Company: Victory Capital Corp.
(IQT432166352) - 12/7/2017",Operating
07/19/2017,Vier Capital Corp.,Merger/Acquisition,Closed,Vertex Resource Group Ltd. (TSXV:VTX),-,IQTR531360577,"TSXV:VIE.P
Company: Vier Capital Corp.
(IQT284990075) - 5/12/2015",Acquired
05/27/2020,Vincero Capital Corp. (TSXV:VCO.P),Merger/Acquisition,Announced,"Certain Worldwide Rights of NewGen Therapeutics, Inc.",-,IQTR669491231,"TSXV:VCO.P
Company: Vincero Capital Corp.
(IQT618442616) - 2/11/2020",Operating
